cadena;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Carrefour;Quilmes;Cerveza rubia clásica Quilmes 340 ml;340 ml;1640.0;1230.0;25;2do al 50% Max 48 unidades Combinable QUILMES
Carrefour;Heineken;Cerveza rubia Heineken retornable 1 lt;1000 ml;6865.0;6865.0;0;
Carrefour;Brahma;Cerveza rubia Brahma 1 lt;1000 ml;4799.0;3599.25;25;2do al 50% Max 48 unidades Combinable BRAHMA
Carrefour;Quilmes;Cerveza rubia clásica Quilmes 1 lt;1000 ml;4580.0;3435.0;25;2do al 50% Max 48 unidades Combinable QUILMES
Carrefour;Schneider;Cerveza rubia Schneider 473 ml;473 ml;2615.0;2615.0;0;
Carrefour;Pampa Brewing;Cerveza Lager Pampa Brewing en lata 473 ml;473 ml;3000.0;1950.0;35;2do al 70% Mi Crf Iguales
Carrefour;Estrella De Galicia;Cerveza Lager Estrella Galicia en lata 473 ml;473 ml;3700.0;3700.0;0;
Carrefour;Isenbeck;Cerveza blanca liviana Isenbeck lata 473 ml;473 ml;2125.0;2125.0;0;
Carrefour;Blue Moon;Cerveza blanca Blue Moon Blegian 473 ml;473 ml;4685.0;4685.0;0;
Carrefour;Amstel;Cerveza blanca Amstel Lager 710 ml;710 ml;3925.0;3925.0;0;
Carrefour;Imperial;Cerveza roja Imperial 473 ml;473 ml;3295.0;3295.0;0;
Carrefour;Imperial;Cerveza rubia Imperial Golden 473 ml;473 ml;3105.0;3105.0;0;
Carrefour;Heineken;Cerveza rubia Heineken 710 ml;710 ml;5995.0;5995.0;0;
Carrefour;Rabieta;Cerveza roja Rabieta Irish Ale 473 ml;473 ml;3900.0;3900.0;0;
Carrefour;Rabieta;Cerveza rubia Rabieta Ipa 473 ml;473 ml;4300.0;4300.0;0;
Carrefour;Imperial;Cerveza rubia Imperial 473 ml;473 ml;3105.0;3105.0;0;
Carrefour;Imperial;Cerveza negra Imperial Cream Stout 1 lt;1000 ml;5450.0;5450.0;0;
Carrefour;Heineken;Cerveza rubia Heineken 330 ml;330 ml;4195.0;4195.0;0;
Carrefour;Estrella De Galicia;Cerveza sin gluten Estrella Galicia en lata 330 ml;330 ml;3200.0;3200.0;0;
Carrefour;Estrella De Galicia;Cerveza sin alcohol 0.0% Estrella Galicia en lata 330 ml;330 ml;3200.0;3200.0;0;
Carrefour;Antares;Cerveza artesanal Ipa Antares XPA 473 ml;473 ml;4515.0;4515.0;0;
Carrefour;Salta Cautiva;Cerveza lager Salta Cautiva Fresh en lata 473 ml;473 ml;3105.0;3105.0;0;
Carrefour;Blue Moon;Cerveza belgian white Blue Moon porrón 355 ml;355 ml;5209.0;5209.0;0;
